recency,baby,computers,fixed_telephony,furniture_decor,musical_instruments,sports_leisure,telephony,toys,other_categories,freight_value,frequency_medium,mean_review_score,ratio_comment_message
79,0.0,0.0,0.0,0.0,0.0,0.0,70.0,0.0,0.0,35.25,0,4,50.0
376,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.78,0,3,0.0
84,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38.870000000000005,0,5,50.0
362,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.84,1,4,0.0
183,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,51.13,0,4,0.0
130,0.0,0.0,0.0,0.0,0.0,544.0,0.0,0.0,278.25,58.86,0,5,0.0
234,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.1,0,4,0.0
49,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.89,1,5,0.0
85,0.0,0.0,0.0,89.18,0.0,0.0,0.0,0.0,0.0,16.38,1,4,0.0
210,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32.76,0,5,0.0
6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.4,0,4,100.0
118,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.79,0,3,0.0
146,0.0,0.0,0.0,83.9,0.0,0.0,0.0,0.0,0.0,17.84,0,3,0.0
383,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.96,0,1,0.0
335,0.0,0.0,0.0,0.0,0.0,29.9,0.0,0.0,0.0,12.69,0,1,0.0
47,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.5,1,4,0.0
70,0.0,0.0,0.0,69.9,0.0,0.0,0.0,0.0,0.0,26.11,0,4,0.0
444,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,0,5,0.0
80,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.3,15.1,0,5,0.0
290,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.41,0,3,0.0
202,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.72,0,3,100.0
140,0.0,0.0,0.0,25.99,0.0,0.0,0.0,0.0,0.0,14.1,1,5,100.0
75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.5,7.94,0,4,0.0
142,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.61,0,4,100.0
200,0.0,0.0,0.0,0.0,0.0,0.0,0.0,139.99,29.99,23.85,1,5,0.0
294,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.13,0,2,0.0
84,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.1,0,5,100.0
77,0.0,0.0,0.0,0.0,0.0,25.0,0.0,0.0,0.0,28.2,0,5,100.0
17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,68.50999999999999,0,4,100.0
41,0.0,0.0,0.0,0.0,59.9,0.0,0.0,0.0,0.0,18.25,0,5,100.0
383,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.4,0,5,100.0
144,0.0,0.0,0.0,63.6,0.0,0.0,0.0,0.0,0.0,78.56,0,5,100.0
275,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.72,0,5,0.0
226,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,125.9,12.38,1,5,0.0
147,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.77,1,5,0.0
180,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.54,0,5,100.0
136,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.39,0,5,100.0
22,0.0,0.0,0.0,0.0,0.0,129.9,0.0,0.0,0.0,11.77,1,5,0.0
98,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.98,0,4,0.0
70,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.4,0,5,0.0
385,0.0,0.0,0.0,0.0,0.0,275.96999999999997,0.0,0.0,0.0,33.75,1,3,0.0
281,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,259.9,53.01,0,5,0.0
209,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,15.79,0,5,0.0
28,0.0,0.0,0.0,117.0,0.0,0.0,0.0,0.0,0.0,75.56,1,4,100.0
97,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.68,0,5,0.0
356,0.0,0.0,0.0,0.0,0.0,0.0,28.99,0.0,0.0,24.84,0,4,0.0
141,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.73,1,4,0.0
142,60.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.18,1,5,0.0
151,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,109.98,51.32,0,4,0.0
62,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.53,0,2,100.0
352,0.0,0.0,0.0,0.0,0.0,0.0,0.0,119.9,0.0,21.16,0,3,0.0
337,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,119.0,15.58,0,5,0.0
269,0.0,0.0,0.0,0.0,0.0,0.0,48.0,0.0,0.0,11.85,0,5,0.0
407,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.84,1,5,0.0
195,159.99,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,57.79,0,4,0.0
117,0.0,0.0,0.0,49.9,0.0,0.0,0.0,0.0,0.0,17.6,0,5,0.0
343,0.0,0.0,0.0,0.0,0.0,36.9,0.0,0.0,0.0,26.89,1,3,0.0
74,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.14,0,5,100.0
153,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.2,0,2,100.0
136,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.19,0,5,0.0
19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.55,0,4,100.0
218,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,62.8,11.94,0,5,100.0
2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,90.0,23.72,0,4,0.0
94,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.81,0,4,100.0
13,109.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.35,0,4,100.0
203,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.95,0,5,0.0
48,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,410.0,35.32,0,1,0.0
360,0.0,0.0,0.0,0.0,0.0,0.0,37.99,0.0,0.0,14.52,0,4,100.0
216,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,110.0,14.16,0,5,0.0
89,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.08,0,5,100.0
399,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.79,1,1,0.0
118,0.0,0.0,0.0,0.0,0.0,0.0,24.99,0.0,0.0,15.79,0,5,0.0
134,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,257.6,15.67,0,5,100.0
19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,179.89000000000001,39.05,0,5,100.0
334,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,359.8,30.02,1,3,100.0
305,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.96,0,5,0.0
286,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,90.0,32.22,1,5,0.0
2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.97999999999999,30.66,1,5,0.0
33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,49.99,8.29,0,5,100.0
296,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.13,0,5,100.0
48,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.74,0,5,100.0
1,0.0,0.0,0.0,139.8,0.0,0.0,0.0,0.0,0.0,0.0,0,5,0.0
259,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,95.0,13.01,0,4,0.0
404,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,289.9,15.8,0,5,0.0
129,0.0,0.0,0.0,0.0,0.0,0.0,189.9,0.0,0.0,26.36,1,5,100.0
8,0.0,0.0,0.0,99.9,0.0,0.0,0.0,0.0,0.0,21.78,0,5,100.0
66,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,49.9,7.78,0,5,0.0
355,0.0,0.0,0.0,0.0,0.0,0.0,0.0,68.0,0.0,24.97,1,5,0.0
132,0.0,0.0,0.0,0.0,0.0,25.9,0.0,0.0,0.0,9.34,1,5,0.0
138,0.0,0.0,0.0,0.0,0.0,269.9,0.0,0.0,0.0,16.64,0,5,0.0
316,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.21,0,5,0.0
217,0.0,0.0,0.0,0.0,0.0,279.99,0.0,0.0,0.0,21.2,0,3,100.0
73,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35.43,0,1,100.0
202,159.99,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,57.79,0,5,0.0
71,0.0,0.0,0.0,0.0,0.0,208.9,0.0,0.0,120.0,41.42,1,5,0.0
152,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.69,1,5,0.0
76,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,155.99,14.11,1,5,0.0
96,0.0,0.0,0.0,69.9,0.0,0.0,0.0,0.0,0.0,19.98,0,4,100.0
317,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.65,0,1,100.0
19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.14,0,5,0.0
274,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.1,0,5,0.0
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,117.7,18.7,1,5,0.0
360,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.5,11.74,1,1,0.0
127,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,129.9,16.54,0,1,0.0
151,0.0,0.0,0.0,0.0,0.0,199.9,0.0,0.0,0.0,40.33,0,5,0.0
109,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,144.8,30.509999999999998,0,3,100.0
117,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.17,0,5,0.0
49,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,320.0,18.0,1,5,0.0
30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,54.65,0,5,0.0
467,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.9,17.44,0,4,100.0
144,0.0,0.0,0.0,719.4,0.0,0.0,0.0,0.0,0.0,34.54,0,5,0.0
114,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,49.99,14.1,0,5,0.0
19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.15,0,4,0.0
139,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.28,1,5,0.0
14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,65.0,18.33,0,5,100.0
362,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.96,0,5,0.0
82,0.0,0.0,0.0,0.0,0.0,38.2,0.0,0.0,0.0,15.1,1,4,0.0
289,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,113.98,46.760000000000005,1,5,0.0
84,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.7,1,5,100.0
91,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.89,0,5,0.0
54,0.0,0.0,0.0,99.0,0.0,0.0,0.0,0.0,0.0,12.4,0,5,0.0
18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,119.9,23.42,0,1,0.0
429,0.0,0.0,34.99,0.0,0.0,0.0,0.0,0.0,0.0,10.96,0,1,0.0
75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.26,0,5,0.0
151,0.0,0.0,0.0,0.0,0.0,24.9,0.0,0.0,0.0,16.79,0,5,0.0
77,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.03,0,5,100.0
41,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.94,1,5,100.0
97,0.0,0.0,0.0,0.0,0.0,119.0,0.0,254.9,0.0,33.32,1,5,50.0
433,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.96,0,4,0.0
194,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,60.0,16.67,1,4,0.0
7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.13,0,4,0.0
68,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,122.99,9.06,0,5,0.0
144,0.0,0.0,0.0,70.91,0.0,0.0,0.0,0.0,0.0,13.52,1,5,100.0
229,174.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35.74,0,4,100.0
85,0.0,0.0,0.0,0.0,0.0,59.99,0.0,0.0,0.0,9.74,1,5,0.0
140,0.0,0.0,0.0,64.9,0.0,0.0,0.0,0.0,0.0,11.95,0,1,0.0
65,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.79,0,1,100.0
31,0.0,0.0,0.0,0.0,0.0,79.97,0.0,0.0,0.0,20.6,0,5,0.0
39,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38.96,0,5,0.0
49,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.01,0,5,0.0
83,0.0,0.0,0.0,0.0,0.0,109.0,0.0,0.0,0.0,98.02,0,2,0.0
157,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.78,1,5,0.0
144,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.06,0,4,100.0
73,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.9,11.85,1,1,0.0
355,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,39.9,10.96,0,1,0.0
7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.21,1,1,0.0
155,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,84.9,17.84,1,1,100.0
14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.39,0,4,0.0
95,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.78,0,5,0.0
267,0.0,0.0,0.0,0.0,0.0,119.0,0.0,0.0,0.0,12.33,0,1,100.0
41,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.41,1,4,0.0
61,0.0,0.0,0.0,89.18,0.0,0.0,0.0,0.0,0.0,27.16,1,5,0.0
292,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,89.9,24.26,0,5,100.0
88,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,79.0,17.8,0,3,0.0
19,115.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.42,1,3,50.0
33,0.0,0.0,0.0,299.0,0.0,0.0,0.0,0.0,0.0,23.17,0,4,100.0
21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.29,0,5,100.0
451,0.0,0.0,0.0,29.9,0.0,0.0,0.0,0.0,0.0,10.96,0,3,0.0
203,174.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31.97,0,1,100.0
48,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,245.9,16.47,0,5,100.0
216,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,721.5,277.0,1,5,100.0
131,0.0,0.0,0.0,49.9,0.0,0.0,0.0,0.0,0.0,11.85,1,3,0.0
294,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,89.0,7.88,0,5,0.0
39,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,43.99,13.47,0,5,0.0
218,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.44,0,5,0.0
329,0.0,0.0,0.0,0.0,0.0,99.9,0.0,0.0,0.0,59.14,0,5,0.0
139,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.1,0,4,0.0
12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,127.69999999999999,30.07,2,4,0.0
237,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.86,0,5,0.0
219,0.0,0.0,0.0,159.0,0.0,0.0,0.0,0.0,0.0,18.36,0,5,0.0
332,0.0,0.0,0.0,0.0,0.0,135.0,0.0,0.0,0.0,45.45,0,4,0.0
559,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,267.0,32.84,0,4,0.0
263,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.57,0,1,0.0
133,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,84.99,16.35,1,1,0.0
41,0.0,0.0,0.0,59.9,0.0,0.0,0.0,0.0,0.0,9.42,1,1,100.0
67,0.0,0.0,0.0,0.0,0.0,0.0,0.0,76.5,0.0,32.22,2,5,0.0
105,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,168.9,24.05,0,5,0.0
31,35.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.28,0,5,100.0
102,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.64,1,1,0.0
83,0.0,0.0,0.0,0.0,0.0,139.8,0.0,0.0,0.0,41.96,0,1,0.0
137,0.0,0.0,0.0,0.0,0.0,0.0,0.0,69.99,0.0,15.25,1,5,0.0
326,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.79,1,3,0.0
251,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.02,0,5,100.0
16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.6,0,5,0.0
363,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.2,1,1,100.0
243,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.1,1,1,0.0
54,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.68,0,1,100.0
51,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,349.9,18.21,1,5,0.0
188,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.52,0,5,0.0
143,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.22,0,5,0.0
344,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,131.0,8.17,0,1,0.0
19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.24,0,1,0.0
119,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.49,0,4,0.0
174,0.0,0.0,0.0,0.0,0.0,0.0,25.99,0.0,0.0,7.78,0,4,0.0
260,0.0,0.0,0.0,0.0,0.0,0.0,29.99,0.0,0.0,25.63,0,5,100.0
175,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.98,1,5,0.0
159,0.0,0.0,0.0,0.0,0.0,84.94,0.0,0.0,0.0,12.93,1,1,0.0
418,0.0,0.0,0.0,65.69999999999999,0.0,0.0,0.0,0.0,0.0,43.56,0,5,100.0
304,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.37,0,4,100.0
323,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,45.58,0,5,0.0
78,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.31,0,5,0.0
144,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,65.0,14.2,0,4,0.0
559,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.58,0,5,100.0
41,0.0,0.0,0.0,0.0,0.0,109.9,0.0,0.0,0.0,18.65,0,5,0.0
391,0.0,0.0,0.0,0.0,0.0,68.9,0.0,0.0,0.0,79.86,0,1,100.0
162,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,119.8,18.68,0,1,0.0
122,64.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.78,0,5,100.0
19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,112.0,38.21,0,1,0.0
319,0.0,0.0,0.0,0.0,0.0,0.0,149.99,0.0,0.0,21.85,1,1,100.0
162,0.0,0.0,0.0,0.0,0.0,0.0,27.99,0.0,0.0,15.79,0,1,0.0
368,0.0,0.0,0.0,0.0,0.0,79.9,0.0,0.0,0.0,21.01,0,1,0.0
22,0.0,0.0,0.0,0.0,0.0,185.0,0.0,0.0,0.0,20.26,1,5,0.0
134,64.89,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.7,0,5,100.0
74,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.45,1,4,0.0
250,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.67,1,4,0.0
224,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.02,1,5,100.0
131,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.35,1,5,0.0
149,0.0,0.0,0.0,39.99,0.0,0.0,0.0,0.0,0.0,22.16,2,5,0.0
130,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.56,1,4,100.0
342,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,292.0,9.3,0,4,100.0
138,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.52,0,5,100.0
